Index,City,State,Date,avgHigh (F),avgLow (F),avgUV,totalSun (hrs),avgSun (hrs),totalSnow (cm),avgSnow (cm),totalRainfall (in), avgRainfall (in),humidity %,pressure (mb),windSpeed (mph)
203,Surprise,Arizona,2018/6,99.97,75,0,420.2,14.01,0,0,0.09,0,17.17,1007.67,9.17
204,Columbia,South Carolina,2017/6,84.5,71.67,0,314.5,10.48,0,0,3.9,0.13,69.17,1015.67,10.4
204,Columbia,South Carolina,2017/7,95.48,80.94,0,347.2,11.2,0,0,4.96,0.16,68.77,1016.06,9.68
204,Columbia,South Carolina,2017/8,91.42,77.52,0,302.6,9.76,0,0,3.3,0.11,70.19,1016,8.23
204,Columbia,South Carolina,2017/9,83,66.8,0,290.6,9.69,0,0,3.48,0.12,71.7,1015.23,9.6
204,Columbia,South Carolina,2017/10,74.29,57.52,0,288.2,9.3,0,0,2.26,0.07,71.48,1019.19,10.19
204,Columbia,South Carolina,2017/11,61.9,46.33,0,264.3,8.81,0,0,0.86,0.03,69.97,1020.53,7.8
204,Columbia,South Carolina,2017/12,51.29,41.58,0,242.4,7.82,0,0,4.46,0.14,72.94,1020.71,9.61
204,Columbia,South Carolina,2018/1,50.97,32.65,0,257.1,8.29,7.5,0.24,3.19,0.1,58.61,1025.65,9.68
204,Columbia,South Carolina,2018/2,66.54,50.32,0,229.8,8.21,0,0,3.8,0.14,71.82,1024.21,11
204,Columbia,South Carolina,2018/3,63.13,44.65,0,303.4,9.79,0,0,3.73,0.12,57.52,1016.84,12.74
204,Columbia,South Carolina,2018/4,70.67,51.5,0,308.7,10.29,0,0,5.18,0.17,58.1,1017.27,12.57
204,Columbia,South Carolina,2018/5,82.77,67.68,0,295.7,9.54,0,0,8.18,0.26,67.65,1017.32,9.45
204,Columbia,South Carolina,2018/6,88.53,73.63,0,324.7,10.82,0,0,5.43,0.18,69.37,1014.1,7.97
205,Coral Springs,Florida,2017/6,84.93,78.27,0,318.9,10.63,0,0,5.31,0.18,76.3,1015.77,12.17
205,Coral Springs,Florida,2017/7,93.81,87.16,0,333.3,10.75,0,0,7.14,0.23,68.03,1017.26,10.32
205,Coral Springs,Florida,2017/8,93.19,85.45,0,298.7,9.64,0,0,6.06,0.2,70.84,1016.13,11.06
205,Coral Springs,Florida,2017/9,87.93,78.53,0,280.2,9.34,0,0,12.4,0.41,79.7,1011.93,12.17
205,Coral Springs,Florida,2017/10,80.87,73.71,0,259.3,8.36,0,0,9.8,0.32,80.52,1014.74,15.23
205,Coral Springs,Florida,2017/11,78,69,0,257.3,8.58,0,0,5.19,0.17,81.37,1015.93,12.2
205,Coral Springs,Florida,2017/12,73.65,62.39,0,264.8,8.54,0,0,0.65,0.02,78.42,1020.1,9.61
205,Coral Springs,Florida,2018/1,70.71,57.03,0,248.9,8.03,0,0,2.25,0.07,78.52,1020.84,14.9
205,Coral Springs,Florida,2018/2,78.86,67.21,0,232.8,8.31,0,0,1.68,0.06,77.36,1021.96,12.68
205,Coral Springs,Florida,2018/3,77.13,58.68,0,334.4,10.79,0,0,0.5,0.02,64.81,1018,12.55
205,Coral Springs,Florida,2018/4,81.5,65.7,0,299,9.97,0,0,4.69,0.16,71.97,1016.93,11.23
205,Coral Springs,Florida,2018/5,81.16,72.1,0,257.6,8.31,0,0,17.44,0.56,79.26,1016.1,14.45
205,Coral Springs,Florida,2018/6,85.27,74.27,0,278,9.27,0,0,11.54,0.38,81.67,1016.63,7.67
206,Visalia,California,2017/6,93.43,68.63,0,433.9,14.46,0,0,0.13,0,40.97,1010.43,10.63
206,Visalia,California,2017/7,109,82.94,0,437.5,14.11,0,0,0.07,0,26.42,1013.26,8.87
206,Visalia,California,2017/8,105.03,79.19,0,359.6,11.6,0,0,0.36,0.01,37.71,1011.03,6.74
206,Visalia,California,2017/9,92.97,66.5,0,341.5,11.38,0,0,0.07,0,43.13,1010.57,7.3
206,Visalia,California,2017/10,83.26,51.16,0,340.7,10.99,0,0,0.09,0,42.03,1014.16,6.71
206,Visalia,California,2017/11,69.2,47.27,0,227.5,7.58,0,0,0.12,0,66.73,1017.97,7.9
206,Visalia,California,2017/12,61.87,35.1,0,254.5,8.21,0,0,0.04,0,56.06,1022.03,6.74
206,Visalia,California,2018/1,58,42.19,0,267.3,8.62,0,0,3.38,0.11,83.1,1021.26,6.87
206,Visalia,California,2018/2,61.82,40.86,0,290.4,10.37,0,0,1.67,0.06,65.43,1019.11,6.68
206,Visalia,California,2018/3,61.94,45.29,0,296.3,9.56,0,0,11.97,0.39,72.42,1017.87,8.16
206,Visalia,California,2018/4,75.2,53.33,0,330.2,11.01,0,0,1.33,0.04,57.07,1015.5,9.53
206,Visalia,California,2018/5,83.06,61.29,0,418.9,13.51,0,0,0.26,0.01,47.19,1012.55,8.45
206,Visalia,California,2018/6,91.57,66.87,0,435,14.5,0,0,0,0,38.33,1009.7,9.37
207,Sterling Heights,Michigan,2017/6,78.4,63.23,0,457.2,15.24,0,0,4.38,0.15,60.4,1011.77,15.7
207,Sterling Heights,Michigan,2017/7,84.03,70.35,0,411.9,13.29,0,0,3.22,0.1,72.19,1015.23,11.03
207,Sterling Heights,Michigan,2017/8,81.19,67.71,0,316.2,10.2,0,0,3.33,0.11,67.13,1016.13,10.29
207,Sterling Heights,Michigan,2017/9,73.5,58.13,0,284.6,9.49,0,0,1.07,0.04,76.37,1017.73,9.03
207,Sterling Heights,Michigan,2017/10,60.97,49.45,0,249.8,8.06,0,0,2.23,0.07,79.03,1016.35,13.16
207,Sterling Heights,Michigan,2017/11,41.07,33.5,0,206.9,6.9,0,0,2.92,0.1,83.5,1019.1,13.37
207,Sterling Heights,Michigan,2017/12,27.35,21.35,0,175.3,5.65,8.8,0.28,0.93,0.03,81.03,1018.74,12.68
207,Sterling Heights,Michigan,2018/1,28.74,19.03,0,194.1,6.26,43.6,1.41,3.46,0.11,73.94,1021.9,15.13
207,Sterling Heights,Michigan,2018/2,35.32,24.71,0,207.5,7.41,42.8,1.53,5.36,0.19,77,1021.93,13
207,Sterling Heights,Michigan,2018/3,40.74,27.19,0,278.2,8.97,16.5,0.53,3.44,0.11,68.45,1018.29,13.26
207,Sterling Heights,Michigan,2018/4,47.83,33.23,0,266.3,8.88,50.1,1.67,4.78,0.16,65.7,1016.13,12.13
207,Sterling Heights,Michigan,2018/5,72.03,56.9,0,333.6,10.76,0,0,5.24,0.17,65.06,1015.58,11.71
207,Sterling Heights,Michigan,2018/6,76.87,63.93,0,444,14.8,0,0,3.78,0.13,66.33,1013.73,11.43
208,Gainesville,Florida,2017/6,83.73,72.4,0,301.1,10.04,0,0,7.92,0.26,82,1015.43,9.17
208,Gainesville,Florida,2017/7,95.23,82.29,0,332.6,10.73,0,0,6.62,0.21,73.03,1016.74,7.84
208,Gainesville,Florida,2017/8,94.42,80.9,0,288.2,9.3,0,0,6.67,0.22,75.48,1015.55,6.74
208,Gainesville,Florida,2017/9,86.27,73.6,0,273.9,9.13,0,0,11.15,0.37,76.23,1013.2,8.6
208,Gainesville,Florida,2017/10,79.42,67.71,0,284,9.16,0,0,3.91,0.13,72.23,1017.1,10.87
208,Gainesville,Florida,2017/11,72,57.4,0,256.4,8.55,0,0,4.87,0.16,78.07,1018.47,8.57
208,Gainesville,Florida,2017/12,64.58,52.16,0,240.4,7.75,0,0,0.89,0.03,78.68,1020.77,8.03
208,Gainesville,Florida,2018/1,59.29,40.87,0,266.5,8.6,0,0,2.79,0.09,73.03,1024.1,10.39
208,Gainesville,Florida,2018/2,73.86,56.82,0,254.9,9.1,0,0,1.94,0.07,81.89,1023.61,9.29
208,Gainesville,Florida,2018/3,70.55,48.84,0,313.7,10.12,0,0,3.04,0.1,63.26,1018.29,10.61
208,Gainesville,Florida,2018/4,75.87,57.53,0,294.6,9.82,0,0,5.31,0.18,70.17,1017.4,10.57
208,Gainesville,Florida,2018/5,82.42,69.29,0,300.3,9.69,0,0,7.6,0.25,74.94,1016.35,8.71
208,Gainesville,Florida,2018/6,86.5,76.03,0,299.1,9.97,0,0,6.26,0.21,76.87,1015.47,6.97
209,Cedar Rapids,Iowa,2017/6,80.2,62.07,0,421,14.03,0,0,5.49,0.18,67.13,1011.33,14.03
209,Cedar Rapids,Iowa,2017/7,85.39,69.97,0,428.8,13.83,0,0,4.76,0.15,82.81,1015.48,10.61
209,Cedar Rapids,Iowa,2017/8,81.23,60.52,0,322.3,10.4,0,0,2.83,0.09,77.19,1016.42,11.26
209,Cedar Rapids,Iowa,2017/9,79.93,54.07,0,323.9,10.8,0,0,1.24,0.04,69.53,1016.57,13.37
209,Cedar Rapids,Iowa,2017/10,60.16,45.58,0,251.2,8.1,0,0,3.91,0.13,74.52,1015.16,17.26
209,Cedar Rapids,Iowa,2017/11,42.77,30.63,0,194,6.47,0,0,0.78,0.03,73.1,1019.6,15.1
209,Cedar Rapids,Iowa,2017/12,29.03,20.19,0,200.8,6.48,6.9,0.22,0.37,0.01,69.71,1021.48,15.1
209,Cedar Rapids,Iowa,2018/1,25.52,10.81,0,234.9,7.58,1.7,0.05,1.53,0.05,76.32,1023.74,16
209,Cedar Rapids,Iowa,2018/2,29.18,15.79,0,221.3,7.9,21.3,0.76,1.7,0.06,76.57,1022.71,14.54
209,Cedar Rapids,Iowa,2018/3,42.84,27.16,0,285.7,9.22,11,0.35,3.76,0.12,70.19,1018.61,15.32
209,Cedar Rapids,Iowa,2018/4,48.37,30.93,0,278.8,9.29,24.4,0.81,4.51,0.15,62.9,1017.4,15.83
209,Cedar Rapids,Iowa,2018/5,76.48,57.13,0,361.5,11.66,0,0,10.06,0.32,66.68,1013.65,12.94
209,Cedar Rapids,Iowa,2018/6,80.37,66.07,0,370.6,12.35,0,0,7.24,0.24,73.07,1012.07,13.73
210,New Haven,Connecticut,2017/6,74.03,64.2,0,400.5,13.35,0,0,3.55,0.12,68.53,1013.17,12.4
210,New Haven,Connecticut,2017/7,84.9,73.39,0,416.1,13.42,0,0,4.44,0.14,71.1,1014.77,9.94
210,New Haven,Connecticut,2017/8,82.13,71.42,0,362.2,11.68,0,0,2.63,0.08,70.16,1016.84,10
210,New Haven,Connecticut,2017/9,72,62.33,0,280.7,9.36,0,0,2.59,0.09,78.4,1016.1,11.97
