Index,City,State,Date,avgHigh (F),avgLow (F),avgUV,totalSun (hrs),avgSun (hrs),totalSnow (cm),avgSnow (cm),totalRainfall (in), avgRainfall (in),humidity %,pressure (mb),windSpeed (mph)
217,Simi Valley,California,2017/6,82.07,68.2,0,431.8,14.39,0,0,0.05,0,54.8,1010.77,7.2
217,Simi Valley,California,2017/7,93.55,79.55,0,425.8,13.74,0,0,0.03,0,52.55,1013.06,6.39
217,Simi Valley,California,2017/8,89.42,76.06,0,351,11.32,0,0,1.22,0.04,58.68,1012,6.19
217,Simi Valley,California,2017/9,82.63,67,0,330.6,11.02,0,0,0.21,0.01,56.3,1011.47,6.7
217,Simi Valley,California,2017/10,82.26,59.84,0,340.9,11,0,0,0,0,37,1013.1,10.16
217,Simi Valley,California,2017/11,71.33,52.77,0,234.8,7.83,0,0,0,0,54.47,1016.83,7.6
217,Simi Valley,California,2017/12,68.03,45.52,0,254.6,8.21,0,0,0,0,29.19,1019.97,13.61
217,Simi Valley,California,2018/1,70.16,53.23,0,294.1,9.49,0,0,4.76,0.15,50.39,1019.65,10.13
217,Simi Valley,California,2018/2,68.36,51.71,0,297.8,10.64,0,0,0.15,0.01,43.75,1017.75,8.64
217,Simi Valley,California,2018/3,64.1,50.13,0,292.8,9.45,0,0,6.01,0.19,60.77,1017.52,7.71
217,Simi Valley,California,2018/4,72.13,56.03,0,341.6,11.39,0,0,0.06,0,54.07,1015.57,7.6
217,Simi Valley,California,2018/5,72.94,59.06,0,390.9,12.61,0,0,0.27,0.01,63.1,1013.77,6.48
217,Simi Valley,California,2018/6,78.07,64.77,0,429.7,14.32,0,0,0.05,0,57.9,1011.13,6.23
218,Lafayette,Louisiana,2017/6,82.63,72.43,0,307,10.23,0,0,7.34,0.24,84.37,1013.27,10.63
218,Lafayette,Louisiana,2017/7,94.32,79.84,0,338.9,10.93,0,0,7.98,0.26,79.81,1016.39,7
218,Lafayette,Louisiana,2017/8,89.58,77.35,0,286.2,9.23,0,0,10.59,0.34,86.1,1014.32,10
218,Lafayette,Louisiana,2017/9,84.43,66.7,0,291.7,9.72,0,0,2.54,0.08,79.8,1014.63,9.77
218,Lafayette,Louisiana,2017/10,78.52,60.84,0,311.5,10.05,0,0,2.47,0.08,76.26,1016.84,12.87
218,Lafayette,Louisiana,2017/11,68.9,53.6,0,267.7,8.92,0,0,1.02,0.03,80.93,1019.4,11.8
218,Lafayette,Louisiana,2017/12,56.16,45.03,0,217.2,7.01,22.1,0.71,5.04,0.16,86.16,1021.9,12.52
218,Lafayette,Louisiana,2018/1,53.65,38.9,0,261,8.42,3.9,0.13,2.2,0.07,72.1,1025.13,13.74
218,Lafayette,Louisiana,2018/2,66.86,56.89,0,203.8,7.28,0,0,3.06,0.11,84.11,1021.04,14.46
218,Lafayette,Louisiana,2018/3,70,55.48,0,299.4,9.66,0,0,3.22,0.1,70.97,1017.87,14.23
218,Lafayette,Louisiana,2018/4,72.27,55.4,0,299,9.97,0,0,2.16,0.07,71.27,1017.2,14
218,Lafayette,Louisiana,2018/5,85.23,69.13,0,328.2,10.59,0,0,1.34,0.04,71.65,1014.52,9.94
218,Lafayette,Louisiana,2018/6,87.73,75.77,0,279.4,9.31,0,0,6.03,0.2,77.37,1014.37,10
219,Topeka,Kansas,2017/6,84.47,65.1,0,423.7,14.12,0,0,5.71,0.19,68.8,1011.53,14.63
219,Topeka,Kansas,2017/7,92.16,73.39,0,352.9,11.38,0,0,3.53,0.11,70.29,1014.71,12.9
219,Topeka,Kansas,2017/8,85.23,63.77,0,337.2,10.88,0,0,4.37,0.14,75.87,1015.94,11.39
219,Topeka,Kansas,2017/9,80.33,58.3,0,311.1,10.37,0,0,2.88,0.1,74.37,1015.67,14.9
219,Topeka,Kansas,2017/10,66.1,47.87,0,296.3,9.56,0,0,2.37,0.08,69.84,1016,18.97
219,Topeka,Kansas,2017/11,51.23,36.6,0,247.9,8.26,0,0,0.24,0.01,70,1019.17,16.2
219,Topeka,Kansas,2017/12,39.19,24.94,0,246.3,7.95,0,0,0.22,0.01,68.16,1023.16,15.94
219,Topeka,Kansas,2018/1,37.45,18.77,0,265.4,8.56,3.7,0.12,1.38,0.04,69.32,1024.42,17.39
219,Topeka,Kansas,2018/2,41.54,24.07,0,241.7,8.63,1,0.04,0.65,0.02,66.71,1021.79,16.43
219,Topeka,Kansas,2018/3,53.81,35.06,0,280,9.03,0,0,3.73,0.12,64.55,1016.84,17.42
219,Topeka,Kansas,2018/4,55.33,37.6,0,289.6,9.65,2.6,0.09,2.3,0.08,61.3,1016.67,18.13
219,Topeka,Kansas,2018/5,83.81,62.48,0,314.2,10.14,0,0,6.13,0.2,66.39,1011.74,15.1
219,Topeka,Kansas,2018/6,88.4,70.23,0,390.9,13.03,0,0,5.4,0.18,66.23,1010.4,16.8
220,Athens,Georgia,2017/6,82.6,68.83,0,317.7,10.59,0,0,5.07,0.17,78.4,1015.9,7.1
220,Athens,Georgia,2017/7,95.77,78.32,0,354,11.42,0,0,3,0.1,71.97,1016.65,6.48
220,Athens,Georgia,2017/8,89.65,74.71,0,302.2,9.75,0,0,4.93,0.16,73.81,1016.32,6.84
220,Athens,Georgia,2017/9,80.63,65.17,0,302.8,10.09,0,0,3.68,0.12,73,1015.37,8.47
220,Athens,Georgia,2017/10,71.35,55.9,0,290.4,9.37,0,0,2.93,0.09,74.45,1019.23,9.48
220,Athens,Georgia,2017/11,59.8,47.3,0,244.4,8.15,0,0,0.31,0.01,74.93,1020.73,7.53
220,Athens,Georgia,2017/12,49.52,40.58,0,234.1,7.55,2.9,0.09,2.49,0.08,75.13,1021.19,9
220,Athens,Georgia,2018/1,48.77,31.39,0,270,8.71,0,0,4.94,0.16,63.68,1025.97,9.65
220,Athens,Georgia,2018/2,62.89,48.11,0,211.1,7.54,0,0,11.59,0.41,78.68,1023.93,9.21
220,Athens,Georgia,2018/3,61.16,42.68,0,287.6,9.28,0,0,6.4,0.21,63.84,1017.55,11.26
220,Athens,Georgia,2018/4,67.73,48.53,0,309,10.3,0,0,5.24,0.17,64.6,1017.33,10.57
220,Athens,Georgia,2018/5,79.32,64.19,0,290,9.35,0,0,13.14,0.42,77.1,1016.97,7.48
220,Athens,Georgia,2018/6,86.33,70.97,0,312.3,10.41,0,0,4.95,0.17,78.1,1014.77,7.13
221,Round Rock,Texas,2017/6,88.37,70.93,0,311.9,10.4,0,0,3.24,0.11,68.13,1012.03,12.5
221,Round Rock,Texas,2017/7,98.1,79.23,0,355.1,11.45,0,0,2.41,0.08,62.45,1015.29,11.68
221,Round Rock,Texas,2017/8,92.68,78,0,313.1,10.1,0,0,14.9,0.48,66.9,1013.13,15.74
221,Round Rock,Texas,2017/9,86.6,69.2,0,303.7,10.12,0,0,1.32,0.04,68.13,1014.3,12.33
221,Round Rock,Texas,2017/10,76,59.06,0,298.5,9.63,0,0,1.3,0.04,65.29,1017,13.77
221,Round Rock,Texas,2017/11,68.97,55.53,0,241,8.03,0,0,0.35,0.01,75.37,1018.6,13.57
221,Round Rock,Texas,2017/12,55.52,42.32,0,212.1,6.84,0,0,3.46,0.11,75.19,1022.48,13.61
221,Round Rock,Texas,2018/1,54.1,35.39,0,272.3,8.78,0,0,1.04,0.03,62.97,1025.39,14.48
221,Round Rock,Texas,2018/2,59.11,45.57,0,199.2,7.11,0,0,5.04,0.18,79.32,1019.36,15.21
221,Round Rock,Texas,2018/3,72.19,52.13,0,291,9.39,0,0,2.59,0.08,64.19,1016.77,16.42
221,Round Rock,Texas,2018/4,73.47,55.13,0,295.8,9.86,0,0,2.28,0.08,63.03,1016.27,16.47
221,Round Rock,Texas,2018/5,87,67.61,0,307.6,9.92,0,0,8.93,0.29,63.68,1012.94,14.55
221,Round Rock,Texas,2018/6,91.27,74.4,0,299.9,10,0,0,3.12,0.1,67.33,1012.2,15.77
222,Hartford,Connecticut,2017/6,76.83,64.27,0,398.8,13.29,0,0,2.44,0.08,66.07,1012.97,9.37
222,Hartford,Connecticut,2017/7,87.77,72.61,0,413.3,13.33,0,0,4.69,0.15,68.1,1014.74,7.39
222,Hartford,Connecticut,2017/8,83.74,69.77,0,353.9,11.42,0,0,1.96,0.06,67.35,1016.68,7.45
222,Hartford,Connecticut,2017/9,73.77,61,0,275.3,9.18,0,0,2.15,0.07,76.33,1016.23,8.3
222,Hartford,Connecticut,2017/10,65.68,53.81,0,247.7,7.99,0,0,8.33,0.27,76.55,1018.97,9.61
222,Hartford,Connecticut,2017/11,45.5,36.2,0,194.9,6.5,0,0,1.74,0.06,76.53,1019.43,9.6
222,Hartford,Connecticut,2017/12,32.03,25.42,0,193.8,6.25,15.8,0.51,1.8,0.06,72.48,1017.55,8.81
222,Hartford,Connecticut,2018/1,32,20.35,0,210.5,6.79,25.9,0.84,2.46,0.08,64.74,1021.58,10.68
222,Hartford,Connecticut,2018/2,42.93,31.25,0,232.3,8.3,13.7,0.49,3.35,0.12,71.79,1023.07,9.75
222,Hartford,Connecticut,2018/3,42.58,30.97,0,244.9,7.9,24.4,0.79,2.5,0.08,66.1,1013.52,11.87
222,Hartford,Connecticut,2018/4,51.43,38.83,0,287.2,9.57,4.3,0.14,3.52,0.12,62.53,1014.97,10.13
222,Hartford,Connecticut,2018/5,70.48,56.77,0,393.8,12.7,0,0,1.49,0.05,66.58,1017.19,8.58
222,Hartford,Connecticut,2018/6,76.63,62.57,0,393.7,13.12,0,0,1.41,0.05,66.1,1013.63,8.3
223,Norman,Oklahoma,2017/6,83.13,66.27,0,324.6,10.82,0,0,2.82,0.09,68.17,1011.63,15.4
223,Norman,Oklahoma,2017/7,96.16,76.58,0,358.5,11.56,0,0,6.24,0.2,65.87,1014.29,12.9
223,Norman,Oklahoma,2017/8,89.87,71.48,0,329.9,10.64,0,0,6.09,0.2,72.97,1014.77,12.84
223,Norman,Oklahoma,2017/9,84.03,62.77,0,307.8,10.26,0,0,2.17,0.07,66.83,1015.17,15.47
223,Norman,Oklahoma,2017/10,71,50.97,0,317.9,10.25,0,0,1.81,0.06,65.71,1017.16,19.87
223,Norman,Oklahoma,2017/11,58.93,43.83,0,246.3,8.21,0,0,0.11,0,73.37,1018.5,17.53
223,Norman,Oklahoma,2017/12,46.35,32.32,0,247.4,7.98,0,0,0.64,0.02,66.94,1023.42,15.84
223,Norman,Oklahoma,2018/1,44.68,27.35,0,292.8,9.45,0,0,0.83,0.03,57.77,1024.74,19.81
223,Norman,Oklahoma,2018/2,49.25,31.93,0,261.6,9.34,0,0,3.43,0.12,66.04,1020.54,18.07
223,Norman,Oklahoma,2018/3,60.26,42,0,302.6,9.76,0,0,3.75,0.12,61.97,1016.35,18.9
223,Norman,Oklahoma,2018/4,62.37,43.63,0,301,10.03,2.2,0.07,4.19,0.14,58.57,1016.13,20.33
223,Norman,Oklahoma,2018/5,82.52,63.74,0,335.2,10.81,0,0,6.14,0.2,64.68,1011.84,18.26
223,Norman,Oklahoma,2018/6,87.6,71.63,0,319.3,10.64,0,0,10.16,0.34,63.23,1010.73,19.37
224,Victorville,California,2017/6,93.07,72.5,0,431.3,14.38,0,0,0,0,24.33,1009.07,14.8
224,Victorville,California,2017/7,100,85.39,0,440.1,14.2,0,0,0.13,0,26.29,1011.65,12.81
224,Victorville,California,2017/8,96.29,79.87,0,361.5,11.66,0,0,0.15,0,35.58,1011.19,11.84
224,Victorville,California,2017/9,83.47,63.57,0,341.4,11.38,0,0,0.11,0,45.5,1011.57,11.4
224,Victorville,California,2017/10,77.71,52.32,0,339.6,10.95,0,0,0,0,33.42,1014.74,10.45
224,Victorville,California,2017/11,68.43,44.7,0,240,8,0,0,0,0,50.93,1017.47,11.23
224,Victorville,California,2017/12,60.13,35.39,0,259.7,8.38,0,0,0,0,29,1022.45,9.06
224,Victorville,California,2018/1,61.1,40.55,0,289.7,9.35,0,0,0.5,0.02,44.48,1020.13,8.71
224,Victorville,California,2018/2,60.32,39.21,0,306.2,10.94,0,0,0.22,0.01,34.46,1018.11,11.54
224,Victorville,California,2018/3,61.26,42.23,0,328.9,10.61,0,0,0.59,0.02,48.94,1016.9,12.26
224,Victorville,California,2018/4,75.43,52.6,0,343.3,11.44,0,0,0.03,0,31.2,1013.97,15.83
224,Victorville,California,2018/5,80.9,58.94,0,425.2,13.72,0,0,0.06,0,37.23,1011.42,14.45
224,Victorville,California,2018/6,91.53,70.27,0,432.7,14.42,0,0,0,0,26.2,1009.03,14.97
225,Fargo,North Dakota,2017/6,76.57,57.83,0,460.7,15.36,0,0,3.04,0.1,58.17,1009.7,14.3
225,Fargo,North Dakota,2017/7,88.39,65.97,0,475.4,15.34,0,0,0.76,0.02,61.39,1014.52,13
225,Fargo,North Dakota,2017/8,80.68,59.03,0,322,10.39,0,0,3.12,0.1,64.23,1015.84,11.35
225,Fargo,North Dakota,2017/9,70.83,50.97,0,285.2,9.51,0,0,3.84,0.13,73.37,1014.1,16.03
225,Fargo,North Dakota,2017/10,54.74,38.03,0,275.8,8.9,0,0,0.42,0.01,69.13,1013.48,18.16
225,Fargo,North Dakota,2017/11,31.6,22.27,0,187.6,6.25,0,0,0.31,0.01,79.43,1018.1,15.47
225,Fargo,North Dakota,2017/12,18.97,10.68,0,122,3.94,0.9,0.03,0.31,0.01,82.16,1022.13,14.06
225,Fargo,North Dakota,2018/1,15.84,5.58,0,166.6,5.37,5.5,0.18,0.43,0.01,79.29,1023.84,15
225,Fargo,North Dakota,2018/2,14.57,0.68,0,229.1,8.18,23.8,0.85,1.22,0.04,75.46,1023.79,13.93
225,Fargo,North Dakota,2018/3,32.42,19.58,0,226.7,7.31,69.4,2.24,4.07,0.13,78.23,1020.39,13.26
225,Fargo,North Dakota,2018/4,42.1,25.47,0,276.9,9.23,10.6,0.35,1.12,0.04,67.33,1019.6,14.33
225,Fargo,North Dakota,2018/5,73.23,51.61,0,425.1,13.71,0,0,4.74,0.15,57.87,1013,13.77
225,Fargo,North Dakota,2018/6,78.43,61.1,0,450.2,15.01,0,0,6.09,0.2,65.57,1010.7,15.4
226,Berkeley,California,2017/6,69.6,57.33,0,415.5,13.85,0,0,0.19,0.01,72.4,1012.77,11.27
226,Berkeley,California,2017/7,85.42,63.16,0,403.8,13.03,0,0,0.01,0,68.39,1013.61,9.03
226,Berkeley,California,2017/8,77.84,62.87,0,329.4,10.63,0,0,0.31,0.01,77.48,1012.55,9.13
226,Berkeley,California,2017/9,72.87,61.53,0,299.2,9.97,0,0,0,0,75.7,1012.5,7.93
226,Berkeley,California,2017/10,69.84,56.35,0,319.4,10.3,0,0,0.27,0.01,65.74,1015.58,6.77
226,Berkeley,California,2017/11,58.63,52.7,0,193.6,6.45,0,0,2.87,0.1,81.8,1018.1,7.1
226,Berkeley,California,2017/12,57.48,46.16,0,230.9,7.45,0,0,0.06,0,66,1022.32,8.06
226,Berkeley,California,2018/1,54,45.26,0,255.5,8.24,0,0,2.56,0.08,87.55,1021.48,7.23
226,Berkeley,California,2018/2,58.14,43.71,0,285.4,10.19,0,0,0.63,0.02,65.54,1019.93,8
226,Berkeley,California,2018/3,57.06,45.06,0,297.7,9.6,0,0,2.8,0.09,75.68,1017.65,9.84
226,Berkeley,California,2018/4,61.07,48.97,0,317.5,10.58,0,0,2.7,0.09,76.4,1018.27,8.43
226,Berkeley,California,2018/5,63.29,53.55,0,385.3,12.43,0,0,0.08,0,75.45,1014.68,9.35
226,Berkeley,California,2018/6,68.43,56.4,0,427.8,14.26,0,0,0.04,0,71.2,1012.57,9.53
227,Vallejo,California,2017/6,75.5,59.7,0,423.7,14.12,0,0,0.17,0.01,65.33,1012.5,12.57
227,Vallejo,California,2017/7,89.35,66.13,0,406.7,13.12,0,0,0,0,59.26,1013.45,9.9
227,Vallejo,California,2017/8,84.74,63.87,0,340.4,10.98,0,0,0.11,0,66.94,1012.16,9.55
227,Vallejo,California,2017/9,80.87,61.43,0,313.6,10.45,0,0,0,0,61.73,1011.93,7.5
227,Vallejo,California,2017/10,76.71,54.61,0,324.7,10.47,0,0,0.19,0.01,53,1015.29,6.29
227,Vallejo,California,2017/11,60.17,49.87,0,195.3,6.51,0,0,2.72,0.09,80.63,1018.07,6.3
227,Vallejo,California,2017/12,58.13,41.23,0,229.8,7.41,0,0,0,0,63.45,1022.48,6.84
227,Vallejo,California,2018/1,54.97,43.16,0,257.2,8.3,0,0,2.54,0.08,87.45,1021.58,6.29
227,Vallejo,California,2018/2,61.04,41.14,0,286.7,10.24,0,0,0.61,0.02,65.46,1019.82,7.43
227,Vallejo,California,2018/3,59.39,43.16,0,290.8,9.38,0,0,3.41,0.11,75.39,1017.81,8.65
227,Vallejo,California,2018/4,64.77,49.13,0,319,10.63,0,0,2.7,0.09,72.77,1017.7,7.97
227,Vallejo,California,2018/5,68.71,54.65,0,396,12.77,0,0,0.04,0,69.61,1014.29,9.71
227,Vallejo,California,2018/6,74.13,57.9,0,432.9,14.43,0,0,0.02,0,64.13,1011.93,10.7
228,Abilene,Texas,2017/6,87.7,67.67,0,335.5,11.18,0,0,2.54,0.08,65,1010.63,16.5
228,Abilene,Texas,2017/7,99.16,80.32,0,353.7,11.41,0,0,1.88,0.06,47.42,1014,13.94
228,Abilene,Texas,2017/8,91.81,74.97,0,331,10.68,0,0,2.1,0.07,62.26,1013.9,13.71
228,Abilene,Texas,2017/9,85.3,65.27,0,307.6,10.25,0,0,2.93,0.1,61.53,1014.23,16.7
228,Abilene,Texas,2017/10,74.26,53.61,0,333.5,10.76,0,0,0.31,0.01,58.71,1017.26,19.45
228,Abilene,Texas,2017/11,64.63,47.23,0,255.8,8.53,0,0,1.02,0.03,69.73,1018.47,18.4
228,Abilene,Texas,2017/12,51.35,35.68,0,236.8,7.64,4.4,0.14,1.03,0.03,69.19,1023,16.84
228,Abilene,Texas,2018/1,51.58,30.81,0,309.9,10,0,0,0.19,0.01,52.35,1024.32,19.03
228,Abilene,Texas,2018/2,56.39,36.11,0,264,9.43,0,0,0.63,0.02,65.57,1018.89,17.93
228,Abilene,Texas,2018/3,68.13,46.84,0,327.7,10.57,0,0,1.45,0.05,56.32,1015.26,19.77
228,Abilene,Texas,2018/4,70.27,47.57,0,319,10.63,0,0,1.41,0.05,55.07,1015.33,21.1
228,Abilene,Texas,2018/5,87,63.94,0,345.5,11.15,0,0,4.61,0.15,58.68,1011.48,21.35
228,Abilene,Texas,2018/6,93.13,71.27,0,339,11.3,0,0,0.83,0.03,55.97,1010.4,20.63
229,Columbia,Missouri,2017/6,83.33,64.17,0,417.4,13.91,0,0,4.19,0.14,66.17,1012.8,10.37
229,Columbia,Missouri,2017/7,92.74,73.61,0,402.4,12.98,0,0,4.79,0.15,71.87,1015.55,9.42
229,Columbia,Missouri,2017/8,84.77,64.23,0,327.2,10.55,0,0,3.86,0.12,75.61,1016.42,9.81
229,Columbia,Missouri,2017/9,80.9,58.1,0,327.5,10.92,0,0,0.28,0.01,68.47,1016.5,10.77
229,Columbia,Missouri,2017/10,65.61,49.19,0,286.6,9.25,0,0,4.68,0.15,71.03,1016.58,14.45
229,Columbia,Missouri,2017/11,51.87,36.87,0,205.8,6.86,0,0,0.53,0.02,67.33,1019.6,13.9
229,Columbia,Missouri,2017/12,37.81,26.23,0,203.8,6.57,2.1,0.07,0.17,0.01,66.81,1022.58,13.9
229,Columbia,Missouri,2018/1,35.55,21.48,0,256.6,8.28,2.6,0.08,1.13,0.04,64.52,1024.55,14.68
229,Columbia,Missouri,2018/2,43.14,27.46,0,230.7,8.24,1.2,0.04,2.26,0.08,67.57,1022.21,13.64
229,Columbia,Missouri,2018/3,48.87,36.77,0,266.7,8.6,2,0.06,2.4,0.08,66.58,1017.1,14.81
229,Columbia,Missouri,2018/4,55.13,38.93,0,289.7,9.66,2.8,0.09,0.72,0.02,59.87,1017.1,14.77
229,Columbia,Missouri,2018/5,82.81,62.35,0,366.7,11.83,0,0,2.48,0.08,61.71,1013.23,11.52
229,Columbia,Missouri,2018/6,87.57,70.53,0,403.1,13.44,0,0,2.64,0.09,66.6,1012.2,11.2
230,Ann Arbor,Michigan,2017/6,77.43,62.8,0,450.2,15.01,0,0,4.28,0.14,65.97,1012.1,14.8
230,Ann Arbor,Michigan,2017/7,83.23,68.55,0,417.5,13.47,0,0,4.07,0.13,79.1,1015.42,11.32
230,Ann Arbor,Michigan,2017/8,79.48,63.26,0,305.8,9.86,0,0,4.38,0.14,77.42,1016.26,10.84
230,Ann Arbor,Michigan,2017/9,74,55.07,0,279.4,9.31,0,0,0.96,0.03,78.97,1017.7,10.33
230,Ann Arbor,Michigan,2017/10,61.03,46.61,0,251.6,8.12,0,0,2.12,0.07,78.16,1016.65,14.1
230,Ann Arbor,Michigan,2017/11,41.53,33.27,0,213.9,7.13,0,0,3.44,0.11,79,1019.3,14.43
230,Ann Arbor,Michigan,2017/12,28.19,21.35,0,191.9,6.19,13.6,0.44,0.94,0.03,80.42,1019.1,13.71
230,Ann Arbor,Michigan,2018/1,27.9,16.81,0,180.2,5.81,16.7,0.54,3.16,0.1,74.52,1022.81,16.42
230,Ann Arbor,Michigan,2018/2,34.46,23.54,0,205.8,7.35,32.5,1.16,4.47,0.16,78.5,1022,14.5
230,Ann Arbor,Michigan,2018/3,40.61,25.77,0,283.4,9.14,36.4,1.17,3.37,0.11,68.42,1018.45,13.84
230,Ann Arbor,Michigan,2018/4,48.43,32.97,0,254.7,8.49,0.8,0.03,4.34,0.14,65.4,1016.03,13.2
230,Ann Arbor,Michigan,2018/5,73.29,55.87,0,310.8,10.03,0,0,6.07,0.2,68.23,1015.39,12.32
230,Ann Arbor,Michigan,2018/6,77.47,63.67,0,421.8,14.06,0,0,4.99,0.17,70,1013.5,12.33
231,Allentown,Pennsylvania,2017/6,77.37,64.8,0,392,13.07,0,0,4.07,0.14,65.1,1013.37,8.53
231,Allentown,Pennsylvania,2017/7,86.97,72.03,0,407.7,13.15,0,0,4.75,0.15,78.06,1014.97,7.29
231,Allentown,Pennsylvania,2017/8,82.16,67.39,0,324.1,10.45,0,0,4.28,0.14,78.16,1016.94,7.81
231,Allentown,Pennsylvania,2017/9,73.83,58.23,0,291.9,9.73,0,0,1.78,0.06,80.93,1016.9,8.43
231,Allentown,Pennsylvania,2017/10,64.84,49.71,0,263.2,8.49,0,0,2.87,0.09,82.1,1019.16,9.97
231,Allentown,Pennsylvania,2017/11,46,34.8,0,198.4,6.61,0,0,2.29,0.08,78.9,1020.33,10.17
231,Allentown,Pennsylvania,2017/12,32.77,24.84,0,178.5,5.76,9.8,0.32,1.79,0.06,76.26,1019.03,10.52
231,Allentown,Pennsylvania,2018/1,34.94,23.97,0,229.5,7.4,13,0.42,2.7,0.09,64.9,1022.23,11.94
231,Allentown,Pennsylvania,2018/2,44.21,33.18,0,206.5,7.38,39.9,1.43,10.74,0.38,74.14,1023.54,10.61
231,Allentown,Pennsylvania,2018/3,43.16,30.84,0,272.8,8.8,88.3,2.85,5.06,0.16,66.23,1015.1,14
231,Allentown,Pennsylvania,2018/4,53.63,41.03,0,268.7,8.96,20,0.67,4.8,0.16,61.47,1015.5,12.67
231,Allentown,Pennsylvania,2018/5,73.07,59.87,0,354.7,11.44,0,0,7.66,0.26,66.93,1017.23,10.03
231,Allentown,Pennsylvania,2018/6,78.93,65.03,0,371.6,12.39,0,0,6.28,0.21,64.77,1014,9.67
232,Pearland,Texas,2017/6,85.13,73.93,0,315,10.5,0,0,6.28,0.21,76.37,1012.2,11.87
232,Pearland,Texas,2017/7,95.35,83.29,0,337.6,10.89,0,0,5.9,0.19,73.35,1016.1,8.84
232,Pearland,Texas,2017/8,93.06,82.32,0,313.1,10.1,0,0,29.94,0.97,73.55,1013.13,14.06
232,Pearland,Texas,2017/9,86.83,73.57,0,298.8,9.96,0,0,0.41,0.01,75.03,1014.17,8.93
232,Pearland,Texas,2017/10,80.84,67.39,0,295.6,9.54,0,0,3.14,0.1,68.71,1016.48,10.97
232,Pearland,Texas,2017/11,73.53,62.63,0,266.5,8.88,0,0,0.29,0.01,75.3,1018.67,10.47
232,Pearland,Texas,2017/12,59,48.87,0,213.4,6.88,0,0,3.46,0.11,80.13,1021.77,10.71
232,Pearland,Texas,2018/1,55.16,40.19,0,274.6,8.86,3.3,0.11,1.15,0.04,70.42,1025.61,11.23
232,Pearland,Texas,2018/2,65.75,54.14,0,186.6,6.66,0,0,3.06,0.11,87.32,1019.86,12
232,Pearland,Texas,2018/3,72.77,57.58,0,288.3,9.3,0,0,1.9,0.06,71.68,1017.48,13.03
232,Pearland,Texas,2018/4,73.2,57.07,0,293.6,9.79,0,0,1.68,0.06,71.13,1017.1,12.67
232,Pearland,Texas,2018/5,85.87,69.74,0,323.9,10.45,0,0,1.87,0.06,74.39,1014.1,10.29
232,Pearland,Texas,2018/6,87.23,74.8,0,295.5,9.85,0,0,3.9,0.13,81.47,1013.77,12.13
233,Beaumont,Texas,2017/6,84.13,72.33,0,304.7,10.16,0,0,6.75,0.23,81.17,1012.43,9.77
233,Beaumont,Texas,2017/7,96.06,81.13,0,338.6,10.92,0,0,6.31,0.2,76.9,1015.97,6.81
233,Beaumont,Texas,2017/8,89.84,79.42,0,296.6,9.57,0,0,26.04,0.84,82,1013.52,10
233,Beaumont,Texas,2017/9,85.3,71.3,0,285.5,9.52,0,0,0.02,0,73.7,1014.6,7.4
233,Beaumont,Texas,2017/10,78.74,64.39,0,296.2,9.55,0,0,2.9,0.09,69.52,1016.71,9.81
233,Beaumont,Texas,2017/11,70.6,58.87,0,262.5,8.75,0,0,3.72,0.12,76,1019.07,9.57
233,Beaumont,Texas,2017/12,57.13,46.29,0,217,7,8.3,0.27,3.11,0.1,79.45,1021.97,9.65
233,Beaumont,Texas,2018/1,54.65,37.87,0,256.4,8.27,8.1,0.26,6.05,0.2,69.32,1025.71,10.13
233,Beaumont,Texas,2018/2,65.5,54.39,0,189.2,6.76,0,0,9.46,0.34,85.57,1020.43,11.57
233,Beaumont,Texas,2018/3,72.1,55.74,0,296.9,9.58,0,0,7.52,0.24,71.77,1017.52,11.65
233,Beaumont,Texas,2018/4,73.27,55.9,0,291.7,9.72,0,0,6.52,0.22,71.57,1017,11.43
233,Beaumont,Texas,2018/5,86.32,68.35,0,322.7,10.41,0,0,2.73,0.09,70.74,1013.97,8.39
233,Beaumont,Texas,2018/6,86.37,76.4,0,279.3,9.31,0,0,11.86,0.4,77.9,1013.7,9.7
234,Wilmington,North Carolina,2017/6,82.07,72.6,0,362.4,12.08,0,0,5.99,0.2,77.93,1015.97,11.33
234,Wilmington,North Carolina,2017/7,92.19,81.42,0,339.2,10.94,0,0,7.78,0.25,75.23,1016.06,11.84
234,Wilmington,North Carolina,2017/8,88.32,79.29,0,315.1,10.16,0,0,8.7,0.28,79.74,1016.16,11.65
234,Wilmington,North Carolina,2017/9,81.8,71,0,287.4,9.58,0,0,2.47,0.08,77.2,1015.17,13.1
234,Wilmington,North Carolina,2017/10,73.58,62.06,0,294.8,9.51,0,0,5.63,0.18,76.39,1019.42,12.06
234,Wilmington,North Carolina,2017/11,61.77,49.43,0,259.6,8.65,0,0,1.61,0.05,76.1,1020.2,10.27
234,Wilmington,North Carolina,2017/12,50.81,41.97,0,230.7,7.44,0,0,4.53,0.15,74.29,1020.35,11.94
234,Wilmington,North Carolina,2018/1,49.48,32.65,0,276.9,8.93,0,0,6.54,0.21,67.19,1025.26,12.94
234,Wilmington,North Carolina,2018/2,63.82,49.86,0,244.5,8.73,0,0,2.51,0.09,81.11,1024.79,13.57
234,Wilmington,North Carolina,2018/3,59.03,44.19,0,296.8,9.57,0,0,6.6,0.21,65.23,1016.16,15.35
234,Wilmington,North Carolina,2018/4,68.97,52.4,0,294.5,9.82,0,0,13.1,0.44,69.03,1017.7,14.3
