Rank,City,State,Latitude,Longitude
113,Yonkers,New York,40°56'45"N,73°52'03"W
114,Huntington Beach,California,33°41'26"N,118°00'33"W
115,Aurora,Illinois,41°45'49"N,88°17'24"W
116,Salt Lake City,Utah,40°46'37"N,111°55'52"W
117,Amarillo,Texas,35°12'00"N,101°49'49"W
118,Montgomery,Alabama,32°20'50"N,86°15'58"W
119,Grand Rapids,Michigan,42°57'40"N,85°39'20"W
120,Little Rock,Arkansas,34°43'31"N,92°21'31"W
121,Akron,Ohio,41°04'50"N,81°31'17"W
122,Augusta,Georgia,33°21'56"N,82°04'24"W
123,Huntsville,Alabama,34°41'56"N,86°40'23"W
124,Columbus,Georgia,32°30'37"N,84°52'30"W
125,Grand Prairie,Texas,32°41'13"N,97°01'16"W
126,Shreveport,Louisiana,32°28'01"N,93°47'32"W
127,Overland Park,Kansas,38°53'20"N,94°41'26"W
128,Tallahassee,Florida,30°27'18"N,84°15'12"W
129,Mobile,Alabama,30°40'06"N,88°06'01"W
130,Port St. Lucie,Florida,27°16'50"N,80°23'18"W
131,Knoxville,Tennessee,35°58'15"N,83°56'57"W
132,Worcester,Massachusetts,42°16'10"N,71°48'28"W
133,Tempe,Arizona,33°23'18"N,111°55'54"W
134,Cape Coral,Florida,26°38'36"N,81°59'51"W
135,Brownsville,Texas,25°59'57"N,97°27'18"W
136,McKinney,Texas,33°11'55"N,96°40'05"W
137,Providence,Rhode Island,41°49'23"N,71°25'08"W
138,Fort Lauderdale,Florida,26°08'28"N,80°08'48"W
139,Newport News,Virginia,37°04'34"N,76°31'19"W
140,Chattanooga,Tennessee,35°03'58"N,85°14'54"W
141,Rancho Cucamonga,California,34°07'24"N,117°33'51"W
142,Frisco,Texas,33°09'19"N,96°49'21"W
143,Sioux Falls,South Dakota,43°32'18"N,96°43'55"W
144,Oceanside,California,33°13'28"N,117°18'22"W
145,Ontario,California,34°02'22"N,117°36'15"W
146,Vancouver,Washington,45°38'06"N,122°35'45"W
147,Santa Rosa,California,38°26'48"N,122°42'22"W
148,Garden Grove,California,33°46'44"N,117°57'38"W
149,Elk Grove,California,38°24'53"N,121°23'06"W
150,Pembroke Pines,Florida,26°01'16"N,80°20'25"W
151,Salem,Oregon,44°55'25"N,123°01'24"W
152,Eugene,Oregon,44°03'24"N,123°06'58"W
153,Peoria,Arizona,33°47'10"N,112°18'29"W
154,Corona,California,33°51'43"N,117°33'56"W
155,Springfield,Missouri,37°11'39"N,93°17'29"W
156,Jackson,Mississippi,32°18'57"N,90°12'46"W
157,Cary,North Carolina,35°46'51"N,78°48'48"W
158,Fort Collins,Colorado,40°32'54"N,105°03'53"W
159,Hayward,California,37°37'43"N,122°06'09"W
160,Lancaster,California,34°41'37"N,118°10'31"W
161,Alexandria,Virginia,38°49'12"N,77°05'03"W
162,Salinas,California,36°41'25"N,121°38'01"W
163,Palmdale,California,34°35'28"N,118°06'19"W
164,Lakewood,Colorado,39°41'56"N,105°07'03"W
165,Springfield,Massachusetts,42°06'56"N,72°32'24"W
166,Sunnyvale,California,37°23'09"N,122°01'35"W
167,Hollywood,Florida,26°01'52"N,80°09'53"W
168,Pasadena,Texas,29°39'31"N,95°09'02"W
169,Clarksville,Tennessee,36°33'59"N,87°20'43"W
170,Pomona,California,34°03'31"N,117°45'40"W
171,Kansas City,Kansas,39°07'21"N,94°44'30"W
172,Macon,Georgia,32°48'32"N,83°41'39"W
173,Escondido,California,33°07'59"N,117°04'26"W
174,Paterson,New Jersey,40°54'53"N,74°09'46"W
175,Joliet,Illinois,41°31'04"N,88°08'56"W
176,Naperville,Illinois,41°44'57"N,88°09'43"W
177,Rockford,Illinois,42°15'32"N,89°03'53"W
178,Torrance,California,33°50'06"N,118°20'29"W
179,Bridgeport,Connecticut,41°11'15"N,73°11'45"W
180,Savannah,Georgia,32°00'09"N,81°09'13"W
181,Killeen,Texas,31°04'40"N,97°43'55"W
182,Bellevue,Washington,47°35'52"N,122°09'23"W
183,Mesquite,Texas,32°45'46"N,96°35'20"W
184,Syracuse,New York,43°02'28"N,76°08'37"W
185,McAllen,Texas,26°13'56"N,98°14'47"W
186,Pasadena,California,34°09'38"N,118°08'23"W
187,Orange,California,33°47'13"N,117°51'41"W
188,Fullerton,California,33°53'09"N,117°55'41"W
189,Dayton,Ohio,39°46'39"N,84°11'59"W
190,Miramar,Florida,25°58'37"N,80°20'09"W
191,Olathe,Kansas,38°53'03"N,94°49'10"W
192,Thornton,Colorado,39°55'10"N,104°56'34"W
193,Waco,Texas,31°33'36"N,97°11'10"W
194,Murfreesboro,Tennessee,35°51'08"N,86°24'58"W
195,Denton,Texas,33°13'00"N,97°08'29"W
196,West Valley City,Utah,40°41'19"N,112°00'42"W
